operator_name	operator_icao	operator_iata
Canada Jetlines Operations	CJL	AU
Coyne Aviation Limited	COY	7C
Khalifa Airways	KZW	K6
Libyan Airlines	LAA	LN
Skyla Air	LAJ	KJ
Linhas Aereas De Mocambique	LAM	TM
Linea Aerea Nacional De Chile	LAN	LA
Lao Airlines	LAO	QV
Transportes Aereos Del Mercosur	LAP	PZ
Lebanese Air Transport	LAQ	LQ
Alba Star	LAV	AP
Lan Cargo	LCO	UC
Lauda Europe	LDA	NG
Lauda Motion GmbH	LDM	OE
Aruba Airlines	ARU	AG
Deutsche Lufthansa AG Koeln	DLH	LH
Lan Argentina	DSM	4M
Palestinian Airlines	PNW	PF
Porter Airlines	POE	PD
Luxair Societe Luxembourgeoise De Navigation Aerienne	LGL	LG
Leeward Islands Air Transport	LIA	LI
Alidaunia	LID	D4
Pt Nam Air	LKN	IK
Dairo Air Services	DSR	WD
Taag Linhas Aereas De Angola	DTA	DT
Tassili Airlines	DTH	SF
Danish Air Transport	DTR	DX
Amelia	AIA	U3
Alliance Air	LLR	9I
Yamal Airlines	LLM	YL
Air Sphinx	ASD	4D
Lloyd Aereo Boliviano	LLB	LB
Primeras Lineas Uruguayas De Navegacion Aerea	PUA	PU
Privilege Style	PVG	P6
Peruvian Air Line	PVN	P9
Pan Am World Airways Dominicana	PWD	7N
Almasria Universal Airlines	LMU	UJ
Lineas Aereas Nacionales Del Ecuador	LNE	XL
Compania De Servicios Aereos Nacionales	LRS	RZ
Arajet	DWI	DM
Darwin Etihad Regional	DWT	0D
Corendon Dutch Airlines	CND	CD
Sas Scandinavian Airlines Norge As	CNO	SK
Atlantis European Airways	LUR	TD
Airlines Of Tasmania	ATM	FO
Montserrat Airways	MNT	5M
Royal Brunei Airlines	RBA	BI
Electra Airways	EAF	E7
Ibex Airlines	IBX	FW
Air Arabia Egypt	RBG	E5
Airbus France	RBU	4Y
Luxaviation Germany GmbH Bueren	LXG	L8
Transporte Aereo	LXP	LU
Sky Prime Malta	LXR	LK
Maswings	MWG	MH
Modern Transporte Aereo De Carga	MWM	WD
Mexicana	MXA	MX
Malaysia Airlines Berhad	MAS	MH
Air Mauritius Limited	MAU	MK
Marabu Airlines Ou	MBU	DI
Challenge Airlines	ICL	5C
Air Madagascar Societe Nationale Malgache De Transports Aeriens	MDG	MD
Middle East Airlines	MEA	ME
Apg Airlines	RIV	GP
Royal Jordanian	RJA	RJ
Air Antwerp	ATW	WP
Austrian Airlines  AG	AUA	OS
Presidential Flight	AUH	MO
Ukraine International Airlines	AUI	PS
RLA Rico Linhas Aereas	RLE	C7
Edelweiss Air AG	EDW	WK
Eurofly	EEZ	GJ
MHS Aviation GmbH Gruenwald	MHV	M2
Cielos Del Sur	AUT	AU
Air Vanuatu	AVN	NF
Tarp Aviation	RLA	A5
Maleth Aero Aoc	MLT	DB
Myanmar Airways International	MMA	8M
Hunnu Air	MML	MR
Air Comet	MPD	A7
Eagle Aviation	EGU	H7
Aer Lingus Teoranta	EIN	EI
Canadian North	MPE	5T
Martinair Holland	MPH	MP
Air Mauritanie	MRT	MR
Poste Air Cargo	MSA	M4
Motor Sich	MSI	M9
Marsland Aviation	MSL	M7
Egypt Air	MSR	MS
Orenair	ORB	R2
Easyjet Europe Airline GmbH	EJU	EC
Cosmic Air	COZ	F5
Sf Airlines Company Limited	CSS	O3
Aeroflot Russian Airlines	AFL	SU
Sw Italia	CSW	UI
Shenzhen Airlines	CSZ	ZH
Vim Airlines	MOV	NN
Aerosur Compania Boliviana De Transporte Aereo Privado	RSU	5L
Scandinavian Airlines System	SAS	SK
Servico Acoreano De Transportes Aereos	SAT	SP
Mayair	MYI	7M
Mahfooz Aviation	MZS	M2
Norwegian Air Argentina	NAA	DN
Norwegian Air Norway As	NAN	DH
Nasair	NAS	UE
Norwegian Air Shuttle As	NAX	DY
Air Tanzania	ATC	TC
Elitaliana Spa	ELA	DK
Albarka Air	NBK	F4
Air India Express	AXB	IX
Smartavia Airlines	AUL	5N
Siberia Airlines	SBI	S7
Senor Air	SEN	UG
Solenta Aviation	SET	EH
Skyup Mt	SEU	SE
Air Seychelles	SEY	HM
Star Flyer Inc	SFJ	7G
Safair	SFR	FA
Norse Atlantic Airways As	NBT	N0
Nippon Cargo Airlines	NCA	KZ
Nicon Airways Limited	NCN	N4
Nokscoot Airlines	NCT	XW
Flybondi	FBZ	FO
Russian Sky Airlines	ESL	P7
Fly Coop Air Service	FCA	DP
Flydubai	FDB	FZ
Amaszonas	AZN	Z8
Zambia Airways Limited	AZB	ZN
Midwest Airlines	MWA	MY
Nam Air	NIH	IN
Fly Niki	NLY	HG
Air Namibia	NMB	SW
Skyking	SKI	RU
Spring Japan	SJO	IJ
Starlux Airlines	SJX	JX
Paramount Airways	PMW	I7
Arcus Air GmbH Zweibruecken	AZE	ZE
Silk Way West Airlines	AZG	7L
Astra Airlines	AZI	A2
Enter Air	ENT	OF
Silk Way Airlines	AZQ	ZP
Panair	PNR	PV
Nok Airlines Public	NOK	DD
Neos	NOS	NO
Nova Airways	NOV	O9
Norwegian Air Shuttle Aoc As	NOZ	DY
Norwegian Air Sweden Aoc	NSZ	D8
Avion Express	NVD	X9
Novo Air	NVQ	VQ
Nova Airlines	NVR	1I
Azul Linhas Aereas Brasileiras	AZU	AD
Air Zimbabwe	AZW	UM
Eritrean Airlines	ERT	B8
Estafeta Carga Aerea	ESF	E7
Blackbird Air	BBB	VD
Bangladesh Biman	BBC	BG
Bluebird Nordic	BBD	BO
Palau Trans Pacific Airline	PTP	GP
Solomon Airlines Limited	SOL	IE
Jet Airlines	SOZ	HZ
North Wright Air	NWL	HW
Yeti Airlines	NYT	YT
Mount Cook Airline	NZM	NM
Olympic Air	OAL	OA
Helvetic Airways AG	OAW	2L
Croatia Airlines	CTN	OU
China United Airlines	CUA	KN
Cubana De Aviacion	CUB	CU
Thai Eastarjet	ESS	E0
Onur Hava Tasimacilik Awms	OHY	8Q
Slok Air International  Limited	OKS	S0
Overland Airways Limited	OLA	OJ
BB Airways	BBW	BO
Bach Flugbetriebs GmbH	BCF	B4
Santa Barbara Airlines	BBR	S3
Oman Air	OMA	WY
Salam Air	OMS	OV
Oceanair Linhas Aereas	ONE	O6
One Airlines	ONS	IP
Sunstate Airlines	SSQ	QF
African Transport Trading And Investment	ETC	ML
Etihad Airways	ETD	EY
Ethiopian Airlines Corporation	ETH	ET
Eva Airways Corporation	EVA	BR
Aeroecom	ERO	7L
Sosoliso Limited	OSL	SO
European Air Transport Leipzig	BCS	QY
Big Charter Private Limited	FLG	9E
Svenskt Industriflyg	JET	IV
Imp Group	EXA	MB
Atlantic Airways Faroe Islands	FLI	RC
Virgin Australia Airlines	PBN	DJ
Projets Aviation Senegal Sas	PEC	Q8
Penial Air Limited	PEL	OT
Altenrhein Luftfahrt GmbH	PEV	PE
Pakistan International Airlines Corporation	PIA	PK
Pacific Airlines	PIC	BL
Sunexpress Deutschland GmbH Frankfurt	SXD	XG
Gunes Ekspres Havacilik	SXS	XQ
Fits Aviation	EXV	8D
Easy Jet Switzerland	EZS	DS
Eaglexpress Air Charter	EZX	9A
Air Transport	CVA	CV
Cityjet	BCY	WX
Brussels Airlines	BEL	SN
Air Sahara	RSH	S2
Pamir Airways	PIR	NR
Polynesian Blue	PLB	DJ
Progress Multitrade	PMT	U4
Bradley Air Services First Air	FAB	7F
Passaredo Transportes Aereos	PTB	P3
Buffalo Airways	BFL	J4
Thomas Cook Airlines	TCX	MT
French Blue	FBU	BF
Transportes Aereos De Cabo Verde	TCV	VR
Bangkok Airways	BKP	PG
Blue Air Aviation	BLA	0B
Aero California	SER	JR
Aerovip	QCL	QD
Qantas Airways Limited	QFA	QF
Far Eastern Air Transport Corporation	FEA	FE
Fly Egypt	FEG	FT
Windrose Air Jetcharter GmbH Berlin	QGA	7W
Cobham Aviation Services Australia Airline Services	QJE	QF
African Safari Airways	QSC	QS
Qatar Airways Group	QTR	QR
Starlink Aviation	TLK	Q4
Thai Lion Mentari	TLM	SL
Tulip Air	TLP	TD
Regional Airlines	RAE	YS
Bearskin Lake Air Service Limited	BLS	JV
Royal Air Maroc Compagnie Nationale De Transports Aeriens	RAM	AT
Skyview Airways	RCT	7S
Flyfirefly Sdn Bhd	FFM	FY
Finnair Oyj	FIN	AY
Red Air	REA	RE
Regent Airways	RGE	RX
Rio Linhas Aereas	RIO	RL
Aeroservicios Centroamericanos	AEY	IG
Aeroitalia	AEZ	XZ
Blue 1	BLF	KF
Air Pacific Limited	FJI	FJ
Fly Jinnah	FJL	9P
Fly Jamaica Airways Limited	FJM	OJ
Flightlink Limited	FLZ	QH
Fischer Air	FFR	8F
Kingfisher Airlines Limited	KFR	IT
Kyrghyzstan Airlines	KGA	R8
Bell View Airlines Limited	BLV	B3
Tuifly Nordic	BLX	6B
B&h Airlines	BON	JA
Nauru Air Corporation	RON	ON
Compania Nationala De Transporturi Aeriene Romane Tarom	ROT	RO
Air Canada Rouge	ROU	RV
Aerorepublica	RPB	P5
Kyrgyz Airlines	KGZ	N5
Sakhir Air Base	KHB	H8
Rwandair	RWD	WB
Australia Wide Airlines	RXA	ZL
Air Botswana	BOT	BP
Aerologic GmbH Leipzig	BOX	3S
Bairline Fluggesellschaft	BRJ	YB
El Buraq Air Transport	BRQ	UZ
Ariana Afghan Airlines	AFG	FG
Africaone	AFI	RV
Alliance	AFJ	Y2
Air France	AFR	AF
Royal Air Charter Service	RYL	V5
Ryanair	RYR	FR
Ryanair Sun	RYS	RR
Transaviaexport	TXC	AL
South African Airways	SAA	SA
Smart Jet	SAH	W7
Shaheen Air International	SAI	NL
Sky Bahamas	SBM	Q7
Saint Barth Commuter	SBU	PV
Seychelles Airlines	SCH	AW
Shell Canada	SCL	W3
Belavia	BRU	B2
Africa World Airlines Limited	AFW	AW
Asl Airlines France	FPO	5O
Fly Play	FPY	OG
Avia Group Nord	NRD	6N
Precision Air Services	PRF	PW
Aerolineas Santo Domingo	SDO	EX
Sundair GmbH	SDR	SR
Spicejet	SEJ	SG
Nantucket Airlines	ACK	DV
Shree Airlines	SHA	N9
Air Urga	URG	3N
Fly For Value Aviation Limited	FVJ	VK
Air Caraibes	FWI	TX
Flugfelag Islands Air Iceland Connect	FXI	NY
Aircompany Kogalymavia	KGL	7K
Sky Airlines	SHY	ZY
Singapore Airlines Limited	SIA	SQ
Sea Air	SIB	5M
Silkair	SLK	MI
Skylink Aviation Limited	SLL	6Q
Surinaamse Luchtvaart Maatschappij	SLM	PY
Iaaca	BNX	KG
Boliviana De Aviacion	BOV	OB
Uab Global Airways	GBL	GT
Air Alpha	AHA	GD
Avient Aviation	SMJ	Z3
Aurora Airlines	SHU	HZ
Virgin Express	VEX	TV
Vasco	VFC	0V
Sterling Air	SNB	NB
Tianjin Airlines	GCR	GS
Air Baltic Corporation	BTI	BT
Twin Jet	TJT	T7
Longjiang Airlines	SNG	LT
Skyup Airlines	SQP	PQ
Siem Reap Airways International	SRH	FT
Eatis	SRK	SX
Cebgo Dba Cebgo	SRQ	DG
Maersk Air Cargo	SRR	S6
Golden Air Fly	GAO	DC
Air Philippines Corporation	GAP	2P
Global Aviation Operations	GBB	GE
Gabon Airlines Cargo	GBC	GX
Lufthansa Cargo AG Frankfurt	GEC	LH
Severstal  Aircompany	SSF	D2
Varig	VRN	RG
Scat	VSV	DV
Air Tahiti	VTA	VT
Tata Sia Airlines	VTI	UK
Gulf Air	GFA	GF
Garuda Indonesia Airways	GIA	GA
Island Aviation	DQA	Q2
Southwind Airlines	STW	2S
Sudan Airways	SUD	SD
Sunflower Airlines Limited	SUF	PI
Sky Vision	SVK	GM
Sunwing Airlines	SWG	WG
West Atlantic Sweden	SWN	PT
Aircompany Yakutia	SYL	R3
Druk Air	DRK	KB
Ahk Air Hong Kong Limited	AHK	LD
Alianza Glancelot	GAL	7O
Turistik Hava Tasimacilik	CAI	XC
China Airlines	CAL	CI
Wideroe's Flyveselskap	WIF	WF
Westjet Airlines	WJA	WS
Welcome Air Luftfahrt GmbH	WLC	2W
Swiss International Air Lines	SWR	LX
Skyalps	SWU	BQ
Svensk Luftambulans	SWV	WV
Swiss Private Jet	SWW	S8
Avianca Ecuador	GLG	2K
Gol Linhas Aereas	GLO	G3
Central Mountain Air	GLR	9M
Abelag Aviation	AAB	W9
Air Senegal	SZN	HC
Ctr Atmospherica Aviation	AAN	WD
Calm Air	CAV	MO
Comair	CAW	MN
Beijing Capital Airlines	CBJ	JD
Ukraine Cargo Airways	UKS	6Z
Empresa Publica Tame Linea Aerea Del Ecuador	TAE	EQ
TAM Linhas Aereas	TAM	JJ
Transportes Aeromar	TAO	VW
Transportes Aereos Portugueses	TAP	TP
Tunis Air Societe Tunisienne De L'air	TAR	TU
Asl Airlines Belgium	TAY	3V
Tropical Airways D'haiti	TBG	M7
Go Airlines  Private Limited	GOW	G8
Gryphon Air Cargo	GRG	DA
Air Greenland	GRL	GL
Transafricaine Air Cargo	TCG	T2
Amber Aviation Limited	TCI	JY
Transportes Ejecutivos Piza	TEP	UE
Tiger Airways Australia	TGG	TT
Scoot	TGW	TR
Georgian Airways	TGZ	A9
Thai Airways International	THA	TG
Thai Smile Airways	THD	WE
Air Tahiti Nui	THT	TN
Transporte Aereo Regional Do Interio Paulista	TIB	T4
Gm Helicopters	GMG	Z5
Germania	GMI	ST
Golden Myanmar Airlines Public Company	GMR	Y5
Tri Mg Intra Asia Airlines	TMG	GY
Societe Anonyme De Transport Et Travaux Aeriens De Madagascar	TML	OF
Azerbaijan Hava Yollari National Airline	AHY	J2
Airbus Industrie	AIB	4Y
Air India Limited	AIC	AI
Abc Aerolineas	AIJ	4O
Gazpromavia	GZP	4G
Air Transat	TSC	TS
Combined Private Investigations Aviation	TSJ	S5
Club De Vuelo Tas	TSX	T9
Haiti Aviation	HAD	H9
Hanhwa Business Jet Airlines	HAH	GG
Green Flag Aviation	GNF	G7
Gambia International Airlines	GNR	GC
Zhejiang Loong Airlines	CDC	GJ
Turkmenhovayollary	TUA	T5
Tuifly GmbH Langenhagen	TUI	UG
Trustco Group International	TUS	M3
Transavia France	TVF	TO
Ural Airlines	SVR	U6
Airtaxi Europe GmbH Braunschweig	TWG	TZ
Alaska Central Express	AER	KO
Linea Aerea De Servicio Ejecutivo Regional	LER	QL
Emirates	UAE	EK
China Eastern Airlines	CES	MU
Condor Flugdienst GmbH Frankfurt	CFG	DE
Air Changan	CGN	2Z
Capital Aircraft Group	CGP	8L
Donbassaero	UDC	5D
Dniproavia	UDN	Z6
Green Africa Airways Limited	GWG	Q9
Germanwings GmbH Koeln	GWI	4U
Great Wall Airlines	GWL	IJ
Uni Airways Corporation	UIA	B7
Um Air	UKM	UF
Logan Air Limited	LOG	LM
Lion Mentari Airlines	LNI	JT
Polskie Linie Lotnicze	LOT	LO
Azur Air Ukraine Airlines	UTN	QU
Alliance Airlines	UTY	QQ
Smartwings	TVS	QS
Vietravel Airlines	VAG	VU
Voyageur Airways	VAL	VC
Phuket Als	VAP	9R
Virgin Nigeria	VGN	VK
Newgen Airways	VGO	E3
Aeroenlaces Nacionales	VIV	VB
Vietjet Aviation	VJC	VJ
Turk Hava Yollari	THY	TK
Heli And Co	HCC	HC
Thai Air Asia	AIQ	FD
Arkia Israel Inland Airlines	AIZ	IZ
Vueling Airlines	VLG	VY
Shs Antwerp Aviation	VLM	VG
Varig Logistica	VLO	LC
The Crown Prince Maha Vajiralongkorn	VMS	VM
Vanilla Air	VNL	JW
Voar Aviation Taxi Aereo E Manutencao	VOA	VM
Volotea	VOE	V7
Concesionaria Vuela Compania De Aviacion	VOI	Y4
Virgin Australia	VOZ	VA
Fast Colombia	VVC	VH
Kuwait National Airways	WAN	KW
Wizz Air Abu Dhabi	WAZ	5W
Air Albatros	WBA	FC
West Caribbean Airways	WCW	YH
Wdl Aviation Koeln	WDL	WD
Webjet Linhas Aereas	WEB	WH
Wing Abadi Airlines	WON	IW
Wow Air	WOW	WW
Air Jamaica	AJM	JM
West African Airlines	WSF	WZ
Wasaya Airways	WSG	WT
Swoop	WSW	WO
Askari Aviation	AAS	4K
Air Atlanta Icelandic	ABD	CC
Cargojet Airways	CJT	W8
Airblue Limited	ABQ	ED
Afrijet Business Services	ABS	9T
Wizz Air Hungary	WZZ	W6
Alpine Aviation	AIP	5A
Amerijet International	AJT	M6
Hellas Jet	HEJ	HJ
Springjet	HFY	5K
Air Transport International	ATN	8C
Air Wisconsin Airlines Corporation	AWI	ZW
Baker Aviation	BAJ	8Q
Uzbekistan Airways	UZB	HY
Hong Kong Air Cargo Carrier	HKC	RH
Hong Kong Express Airways	HKE	UO
Bulgaria Air	LZB	FB
Aerotransportes Mas De Carga	MAA	M7
Air Japan	AJX	NQ
Akasa Air	AKJ	QP
Alrosa Air Company Limited	DRU	6R
Bemidji Airlines	BMJ	CH
TUI Hapag Lloyd Express	HLX	X3
Bristow Us	BTZ	L9
Innovation First	BUG	RT
Village Aviation	CAM	R9
Grand Holdings Champion Air	CCP	MG
Corporate Express Airlines	CEA	3C
Empire Airlines	CFS	EM
Flying Boat	CHK	OP
Chautauqua Airlines	CHQ	RP
Arctic Circle Air Service	CIR	5F
Colgan Air	CJC	9L
Kalitta Air	CKS	K4
Continental Micronesia	CMI	CS
Continental Airlines	COA	CO
Comair	COM	OH
Compass Als	CPZ	CP
Ibc Airways	CSQ	II
Shoreline Aviation	CST	BX
Xtra Airways	CXP	XP
Boston Maine Airways	CXS	E9
Delta Air Lines	DAL	DL
Baleares Link Express	HOA	H5
Eastern Airlines	EAL	EA
Endeavor Air	EDV	9E
Evergreen International Airlines	EIA	EZ
Netjets Aviation	EJA	1I
Westjet Encore	WEN	WR
Florida Coastal Airlines	FCL	PA
Federal Express Corporation	FDX	FX
Sun Air Express	FDY	LW
Hop!	HOP	A5
Pearl Airways Compagne Haitienne	HPA	HP
Frontier Airlines	FFT	F9
Boeing Tactical	FRE	FP
Four Star Aviation	FSC	HK
Frontier Flying Service	FTA	2F
Gemini Air Cargo	GCO	GR
Cargo 360	GGC	GG
Gojet Airlines	GJS	G7
Great Lakes Aviation	GLA	ZK
Tradewind Aviation	GPD	TJ
Usa 3000 Airlines	GWY	U5
Hageland Aviation Services	HAG	H6
Hawaiian Airlines	HAL	HA
Harbor Airlines	HAR	HB
Hera Flight	HER	UD
Superior Aviation	HKA	SO
Iliamna Air Taxi	IAR	V8
Psa Airlines	JIA	OH
Usa Jet Airlines	JUS	U7
Hyannis Air Service	KAP	9K
Kenmore Air Harbor	KEN	M5
Kalitta Flying Service	KFS	K9
Kalitta Charters Ii	KII	CB
Sky Lease I	KYE	GG
L A B Flying Service	LAB	JF
Trans States Airlines	LOF	AX
Maklee Air	MAK	IN
Midwest Connect	MEP	YX
Mesaba Aviation	MES	XJ
Forty Mile Air	MLA	Q5
West Isle Air	MRR	2G
Breeze Airways	MXY	MX
Northern Air Cargo	NAC	NC
North American Airlines	NAO	NA
T3 Aviation	NCC	N/A
National Air Cargo Group	NCR	N8
New England Airlines	NEA	EJ
Spirit Airlines	NKS	NK
Pacific Wings	NMI	LW
Maxair	NTW	CE
Omni Air International	OAE	OY
Open Skies Consultative Commission	OSY	1L
Pan American Airways Corporation	PAA	PA
Polar Air Cargo Worldwide	PAC	PO
Piedmont Aviation Services	PCE	Y5
Air Caledonie International	ACI	SB
Aercaribe	ACL	FS
Astral Aviation Limited	ACP	8V
Aryan Cargo Express	ACQ	YE
Armenian National Airlines	ACY	G6
Airdo	ADO	HD
Air Europa	AEA	UX
Aegean Airlines	AEE	A3
Indonesia Airasia	AWQ	QZ
Sylt Air GmbH Sylt	AWU	7E
Blue Panorama Airlines Spa	BPA	BV
BRA Transportes Aereos	BRB	7R
Shandong Airlines	CDG	SC
Cebu Pacific Air	CEB	5J
Cathay Pacific Airways	CPA	CX
Eastern Australia Airlines	EAQ	QF
Finalair Congo	FNC	4S
Gujarat Airways	GUJ	G8
Air Guyane Sp	GUY	GG
Central Airlines	HLF	HF
Air Asia	IAD	I5
Mahan Air	IRM	W5
Atlasjet Havacilik	KKK	KK
Klm Cityhopper Bv	KLC	WA
Nouvel Air Tunisie	LBT	BJ
Abx Air	ABX	GB
Lan Peru	LPE	LP
Avianca Costa Rica	LRC	LR
Air Burundi	PBU	8Y
Pacific Coastal Airline	PCO	8P
Air Austral	REU	UU
Solaseed Air	SNJ	6J
China Cargo Airlines	CKK	CK
Lufthansa Cityline GmbH Koeln	CLH	CL
Clickair	CLI	XG
Cargolux Airlines International	CLX	CV
Compania Panamena De Aviacion	CMP	CM
Spring Airlines	CQH	9C
Chong Qing Airlines	CQN	OQ
Croix Rouge Francaise	CRF	NV
Costa Rica Green Airways	CRG	2G
Tui Airlines Nederland	TFL	OR
Transavia Holland	TRA	HV
Hong Kong Airlines	CRK	HX
Corsair	CRL	SS
Icelandair	ICE	FI
Eastarjet	ESR	ZE
Estonian Air	ELL	OV
Eurolot	ELO	K2
Ewat GmbH	EWE	E2
Eurowings GmbH	EWG	EW
Ewa Air	EWR	ZD
Fly One	FIA	5F
Hello AG	FHE	HW
Free Bird Airlines	FHY	FH
Flyone Armenia	FIE	3F
Air Finland	FIF	OF
Flygo	FLY	SH
Pivot Airlines	GGN	ZX
Haiti Ambassador Airlines	HAM	2T
Air Arabia Maroc	MAC	3O
Montenegro Airlines	MGX	YM
Jin Air	JNA	LJ
Korean Air Lines	KAL	KE
L T E International Airways	LTE	XO
Lufttransport	LTR	L5
TFC Flugbetrieb und Technik Beratungsgesellschaft	LTU	LT
Air Moldova	MLD	9U
Aeroways	MCK	CC
Aeroservice	RSR	BF
Maya Island Air	MYD	MW
Netjets Transportes Aereos	NJE	1I
National Jet Systems Group	NJS	NC
Qantaslink	QLK	QF
Kabo Air Travels	QNK	N2
Sata Internacional Azores Airlines	RZO	S4
Societe Internationale De Telecommunications Aeronautiques	SIT	XS
Skytropic	SKT	XT
Sky Service	SKU	H2
Skyside GmbH	SKV	KV
Sky Airline Peru	SKX	JZ
Skymark Airlines	SKY	BC
Aerolitoral	SLI	5D
Air Saint Pierre	SPM	PJ
Pal Aerospace	SPR	PB
Sun Air Of Scandinavia	SUS	EZ
Saudi Arabian Airlines	SVA	SV
Aigle Azur	AAF	ZI
Armenian Airlines	AAG	KI
